API,LeaseName,WellNumber,WellStatus,WellType,OperatorCode,OperatorName,FieldName,AreaName,District,CountyName,BaseMeridian,Section,Township,Range,Latitude,Longitude,GISSource,isConfidential,isDirectionallyDrilled,SpudDate,WellSymbol
0410700189,Community,28-1,Plugged,DH,A1700,Amerada Hess Corp.,Any Field,Any Area,Inland,Tulare,MD,28,16S,24E,36.51160431,-119.3700104,hud,N,N,,PluggedDH
0410700190,Community,29-2,Plugged,DH,A1700,Amerada Hess Corp.,Any Field,Any Area,Inland,Tulare,MD,29,16S,24E,36.50634766,-119.3854828,hud,N,N,,PluggedDH
0410700191,Hovsepian,1,Plugged,DH,00108,A. O. Margoles,Any Field,Any Area,Inland,Tulare,MD,33,16S,24E,36.49830627,-119.3606033,hud,N,N,,PluggedDH
0410700205,Doe,1,Plugged,DH,08253,"Ted Sterling, Operator",Any Field,Any Area,Inland,Tulare,MD,09,18S,24E,36.37334442,-119.3738785,hud,N,N,,PluggedDH
0410700206,Carter-McCallister,1,Plugged,DH,05952,Miles Andrews,Any Field,Any Area,Inland,Tulare,MD,16,18S,25E,36.35673523,-119.2705383,hud,N,N,,PluggedDH
0410700207,A.K.,2,Plugged,DH,04988,King Development Company,Any Field,Any Area,Inland,Tulare,MD,16,18S,25E,36.35850906,-119.2766342,hud,N,N,,PluggedDH
0410700208,Carter-Chedester,1,Plugged,DH,08903,W. J. Carter,Any Field,Any Area,Inland,Tulare,MD,21,18S,25E,36.35366821,-119.261673,hud,N,N,,PluggedDH
0410700221,Presley,1,Plugged,DH,06693,Paul E. Olson,Any Field,Any Area,Inland,Tulare,MD,33,20S,25E,36.15139008,-119.2705383,hud,N,N,,PluggedDH
0410700222,Presley,2,Plugged,DH,06693,Paul E. Olson,Any Field,Any Area,Inland,Tulare,MD,33,20S,25E,36.14796829,-119.2701721,hud,N,N,,PluggedDH
0410700223,A.K.,1,Plugged,DH,04988,King Development Company,Any Field,Any Area,Inland,Tulare,MD,12,20S,26E,36.19635773,-119.1150894,hud,N,N,,PluggedDH
0410700224,Lease by Lindsay Community Dev. Assoc.,1,Plugged,DH,05345,Lindsay Community Dev. Assoc.,Any Field,Any Area,Inland,Tulare,MD,15,20S,26E,36.18456268,-119.1383896,hud,N,N,,PluggedDH
0410700238,Swift,1,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Tulare,MD,16,21S,23E,36.10803604,-119.4994125,hud,N,N,,PluggedDH
